GISJOIN,GEOID,TotPop,Allocated
G0100730013200,14000US01073013200,2107,107
G0100730013300,14000US01073013300,2936,316
G0100730013400,14000US01073013400,4384,319
G0100730013601,14000US01073013601,3240,128
G0100730013801,14000US01073013801,1958,170
G0100730013901,14000US01073013901,1371,75
G0100730013902,14000US01073013902,1962,126
G0100730014001,14000US01073014001,3499,138
G0100730014002,14000US01073014002,3406,184
G0100730014102,14000US01073014102,4406,355
G0100730014104,14000US01073014104,3000,110
G0100730014105,14000US01073014105,4424,385
G0100730014203,14000US01073014203,13332,879
G0100730014204,14000US01073014204,9489,432
G0100730014301,14000US01073014301,2366,276
G0100730014302,14000US01073014302,8222,273
G0100730014404,14000US01073014404,5548,307
G0100730014405,14000US01073014405,3836,258
G0100730014406,14000US01073014406,5172,330
G0100730014408,14000US01073014408,2861,220
G0100730014409,14000US01073014409,2663,104
G0100730014410,14000US01073014410,4850,327
G0100730014412,14000US01073014412,3812,258
G0100730014413,14000US01073014413,9071,561
G0100750030000,14000US01075030000,4197,368
G0100750030100,14000US01075030100,5027,145
G0100750030200,14000US01075030200,3774,170
G0100770010100,14000US01077010100,1550,110
G0100770010200,14000US01077010200,1948,152
G0100770010300,14000US01077010300,1014,136
G0100770010400,14000US01077010400,2795,177
G0100770010600,14000US01077010600,2985,316
G0100770010700,14000US01077010700,1384,85
G0100770010800,14000US01077010800,3419,604
G0100770010900,14000US01077010900,6586,952
G0100770011000,14000US01077011000,4458,458
G0100770011101,14000US01077011101,5213,771
G0100770011102,14000US01077011102,4340,271
G0100770011200,14000US01077011200,3752,302
G0100770011300,14000US01077011300,1823,111
G0100770011400,14000US01077011400,5903,605
G0100770011501,14000US01077011501,7259,659
G0100770011502,14000US01077011502,5148,365
G0100770011602,14000US01077011602,4155,270
G0100770011603,14000US01077011603,4342,963
G0100770011604,14000US01077011604,6527,649
G0100770011700,14000US01077011700,4312,615
G0100770011801,14000US01077011801,4241,318
G0100770011802,14000US01077011802,3715,303
G0100790979100,14000US01079979100,1559,152
G0100790979200,14000US01079979200,3773,242
G0100790979300,14000US01079979300,4541,359
G0100790979400,14000US01079979400,3800,540
G0100790979500,14000US01079979500,5731,430
G0100790979600,14000US01079979600,4324,324
G0100790979700,14000US01079979700,2050,51
G0100790979800,14000US01079979800,3416,250
G0100790979900,14000US01079979900,1820,145
G0100810040200,14000US01081040200,5252,386
G0100810040300,14000US01081040300,2288,221
G0100810040400,14000US01081040400,6819,645
G0100810040500,14000US01081040500,9799,725
G0100810040602,14000US01081040602,5851,538
G0100810040603,14000US01081040603,800,76
G0100810040604,14000US01081040604,5086,389
G0100810040700,14000US01081040700,5303,1230
G0100810040800,14000US01081040800,2617,69
G0100810040901,14000US01081040901,3869,263
G0100810040902,14000US01081040902,5151,641
G0100810041000,14000US01081041000,8825,603
G0100810041100,14000US01081041100,9760,571
G0100810041200,14000US01081041200,4573,284
G0100810041300,14000US01081041300,2820,219
G0100810041400,14000US01081041400,3428,284
G0100810041600,14000US01081041600,3625,638
G0100810041700,14000US01081041700,9878,924
G0100810041800,14000US01081041800,7846,691
G0100810041900,14000US01081041900,8115,836
G0100810042002,14000US01081042002,7000,473
G0100810042003,14000US01081042003,3242,257
G0100810042004,14000US01081042004,9732,1006
G0100810042005,14000US01081042005,4805,283
G0100810042006,14000US01081042006,1974,60
G0100810042101,14000US01081042101,3578,286
G0100810042102,14000US01081042102,8350,575
G0100830020101,14000US01083020101,4487,404
G0100830020102,14000US01083020102,5406,275
G0100830020201,14000US01083020201,4257,260
G0100830020202,14000US01083020202,5091,400
G0100830020300,14000US01083020300,3364,263
G0100830020401,14000US01083020401,6231,550
G0100830020402,14000US01083020402,5435,403
G0100830020500,14000US01083020500,2270,159
G0100830020600,14000US01083020600,4239,325
G0100830020700,14000US01083020700,2222,107
G0100830020801,14000US01083020801,5803,229
G0100830020802,14000US01083020802,10565,1027
G0100830020900,14000US01083020900,4515,379
G0100830021000,14000US01083021000,2763,248
G0100830021100,14000US01083021100,6151,344
G0100830021200,14000US01083021200,13717,1180
G0100850780800,14000US01085780800,2987,201
G0100850781000,14000US01085781000,2340,133
G0100850781100,14000US01085781100,1414,146
G0100850781200,14000US01085781200,2623,206
G0100870231400,14000US01087231400,1335,164
G0100870231500,14000US01087231500,2587,158
G0100870231601,14000US01087231601,1094,8
G0100870231602,14000US01087231602,1457,111
G0100870231603,14000US01087231603,918,69
G0100870231700,14000US01087231700,2372,558
G0100870231800,14000US01087231800,911,62
G0100870231900,14000US01087231900,1327,76
G0100870232000,14000US01087232000,836,42
G0100870232100,14000US01087232100,1206,74
G0100870232200,14000US01087232200,2311,203
G0100870232300,14000US01087232300,1261,231
G0100890000201,14000US01089000201,777,94
G0100890000202,14000US01089000202,3693,272
G0100890000301,14000US01089000301,3628,234
G0100890000302,14000US01089000302,3355,148
G0100890000403,14000US01089000403,4697,520
G0100890000501,14000US01089000501,1908,36
G0100890000502,14000US01089000502,2230,224
G0100890000503,14000US01089000503,1538,134
G0100890000601,14000US01089000601,1202,113
